Country,term,estimate,std.error,statistic,p.value
Afghanistan,(Intercept),-1.349408902996497,5.250237158379912,-0.25701865692727865,0.7999271055469823
Afghanistan,slope,7.169050831172959e-4,0.002625106547479186,0.27309561351165695,0.7877260174497592
Albania,(Intercept),-32.68548188631246,29.197288540146815,-1.1194697699880354,0.27689274958519405
Albania,slope,0.01688000313896575,0.014598577360080507,1.156277267477018,0.26190032182007933
Algeria,(Intercept),-31.354770069470895,16.563204420626533,-1.8930376799808188,0.0722165947263254
Algeria,slope,0.01726537022529671,0.00827741799839161,2.085840080644901,0.04937775311764838
Andorra,(Intercept),109.80304057605899,71.03813231635732,1.5456915461553544,0.1444798284841963
Andorra,slope,-0.05128412938676479,0.03547462876050986,-1.4456565488813227,0.17028616275664477
Angola,(Intercept),-117.60031380696567,13.795311598608318,-8.524658030836308,6.442195508759647e-8
Angola,slope,0.0592310025909114,0.006897624185265757,8.587160013361803,5.7623147342862866e-8
Anguilla,(Intercept),-327.567335665446,29.28336494650577,-11.186123461693663,1.0533428421131671e-7
Anguilla,slope,0.16514239227253177,0.014616074705511304,11.298682826946779,9.431833236007216e-8
Antigua and Barbuda,(Intercept),-77.10436741000944,20.78904584861175,-3.7088939998253125,0.0014892406787572103
Antigua and Barbuda,slope,0.04096380503117138,0.010394475283070003,3.9409209138138173,8.768947968626988e-4
Argentina,(Intercept),-117.08941371641491,16.857641010525796,-6.945776911686818,7.337385675211978e-7
Argentina,slope,0.06049349380434874,0.008424561912499327,7.180610034403801,4.449979822043444e-7
Armenia,(Intercept),-71.76090805567142,14.042259098313723,-5.110353508880127,8.704254111395197e-5
Armenia,slope,0.03645786979649011,0.007017594449153785,5.195208993715271,7.298585917374505e-5
Aruba,(Intercept),481.17473564236985,167.37540402365974,2.874823445231847,0.0097002157005156
Aruba,slope,-0.2289924128571372,0.08368731844583265,-2.7362857014632933,0.01311904831023984
Australia,(Intercept),-11.597622830444035,39.394244985451884,-0.29439891117920863,0.7713435188488783
Australia,slope,0.014442411077074783,0.019687170682355995,0.7335950558918218,0.47130683580593147
Austria,(Intercept),8.86912749274383,30.122989541681008,0.29443052059861685,0.7713197005735644
Austria,slope,-3.9234895256954087e-4,0.01505388507354067,-0.02606296983488665,0.9794531981376959
Azerbaijan,(Intercept),59.33092596592444,79.82901948545666,0.7432250370647909,0.46643685521063927
Azerbaijan,slope,-0.027344340527268283,0.03987445271509785,-0.6857608986546609,0.5011465796628194
Bahamas,(Intercept),209.7995140490134,58.77510405392745,3.569530287118126,0.002045392306770935
Bahamas,slope,-0.1020987893077924,0.029387417334942937,-3.4742348449379534,0.0025395192919047465
Bahrain,(Intercept),399.9025823302475,225.06178206462874,1.7768569086305888,0.09160603442559292
Bahrain,slope,-0.18728536912988564,0.11253037526927633,-1.664309469169782,0.1124560393546609
Bangladesh,(Intercept),-24.358339385873883,1.348851959045729,-18.058571381774655,2.8600708159617767e-14
Bangladesh,slope,0.012299864778656307,6.740852313014299e-4,18.246750125217016,2.3294392043544635e-14
Barbados,(Intercept),-213.40255505410667,39.61648123249171,-5.386711500240037,3.3764509696024066e-5
Barbados,slope,0.10894084225714855,0.019808149829100518,5.499798981583911,2.6361590648949964e-5
Belarus,(Intercept),43.3515504656885,54.012632235955735,0.8026187332679141,0.43212084430384123
Belarus,slope,-0.018589266111684943,0.026979213373689935,-0.6890217981601032,0.49913802818985675
Belgium,(Intercept),203.20200039208856,28.233395581145434,7.197221453865402,4.2965119372376384e-7
Belgium,slope,-0.09616575706818409,0.014109565444235654,-6.815642724664621,9.71094389358435e-7
Belize,(Intercept),46.38780245784302,30.978026622993116,1.4974421393069681,0.15070745556404694
Belize,slope,-0.022346848846754842,0.015488942320673608,-1.4427614477541024,0.16537168584447665
Benin,(Intercept),-41.55235981692367,4.42724158901871,-9.385609296766132,1.446965666119108e-8
Benin,slope,0.020931978396104684,0.0022136106488171315,9.456034378624773,1.2857051271207766e-8
Bermuda,(Intercept),87.34686619924723,69.37577572736454,1.2590398490462456,0.22326536971404476
